Name,Age,Hometown,Season
Brandon Rogers,28,"North Hollywood, California",6
Stephanie Edwards,19,"Savannah, Georgia",6
Chris Sligh,28,"Greenville, South Carolina",6
Gina Glocksen,22,"Naperville, Illinois",6
Haley Scarnato,24,"San Antonio, Texas",6
Sanjaya Malakar,17,"Federal Way, Washington",6
Chris Richardson,22,"Chesapeake, Virginia",6
Phil Stacey,29,"Jacksonville, Florida",6
LaKisha Jones,27,"Fort Meade, Maryland",6
Melinda Doolittle,29,"Brentwood, Tennessee",6
Blake Lewis,25,"Bothell, Washington",6
Jordin Sparks,17,"Glendale, Arizona",6
David Hernandez,24,"Glendale, Arizona",7
Amanda Overmyer,23,"Mulberry, Indiana",7
Chikezie,22,"Inglewood, California",7
Ramiele Malubay,20,"Miramar, Florida",7
Michael Johns,29,"Buckhead, Georgia",7
Kristy Lee Cook,24,"Selma, Oregon",7
Carly Smithson,24,"San Diego, California",7
Brooke White,24,"Mesa, Arizona",7
Jason Castro,20,"Rockwall, Texas",7
Syesha Mercado,21,"Sarasota, Florida",7
David Archuleta,17,"Murray, Utah",7
David Cook,25,"Blue Springs, Missouri",7
Jasmine Murray,16,"Starkville, Mississippi",8
Jorge Núñez,21,"Carolina, Puerto Rico",8
Alexis Grace,21,"Memphis, Tennessee",8
Michael Sarver,27,"Jasper, Texas",8
Megan Joy,22,"Sandy, Utah",8
Scott MacIntyre,23,"Scottsdale, Arizona",8
Anoop Desai,21,"Chapel Hill, North Carolina",8
Lil Rounds,23,"Memphis, Tennessee",8
Matt Giraud,23,"Kalamazoo, Michigan",8
Allison Iraheta,16,"Los Angeles, California",8
Danny Gokey,28,"Milwaukee, Wisconsin",8
Adam Lambert,27,"San Diego, California",8
Kris Allen,23,"Conway, Arkansas",8
Lacey Brown,24,"Amarillo, Texas",9
Paige Miles,24,"Naples, Florida",9
Didi Benami,23,"Hollywood, California",9
Andrew Garcia,24,"Moreno Valley, California",9
Katie Stevens,17,"Middlebury, Connecticut",9
Tim Urban,20,"Duncanville, Texas",9
Siobhan Magnus,19,"Cape Cod, Massachusetts",9
Aaron Kelly,16,"Sonestown, Pennsylvania",9
Mike Lynche,26,"St. Petersburg, Florida",9
Casey James,27,"Fort Worth, Texas",9
Crystal Bowersox,23,"Elliston, Ohio",9
Lee DeWyze,23,"Mount Prospect, Illinois",9
Ashthon Jones,24,"Goodlettsville, Tennessee",10
Karen Rodriguez,21,"New York, New York",10
Naima Adedapo,26,"Milwaukee, Wisconsin",10
Thia Megia,16,"Mountain House, Alameda County, California",10
Pia Toscano,22,"Howard Beach, New York",10
Paul McDonald,26,"Nashville, Tennessee",10
Stefano Langone,21,"Kent, Washington",10
Casey Abrams,20,"Idyllwild, California",10
Jacob Lusk,23,"Compton, California",10
James Durbin,22,"Santa Cruz, California",10
Haley Reinhart,20,"Wheeling, Illinois",10
Lauren Alaina,16,"Rossville, Georgia",10
Scotty McCreery,17,"Garner, North Carolina",10
Jeremy Rosado,19,"Valrico, Florida",11
Jermaine Jones,25,"Pine Hill, New Jersey",11
Shannon Magrane,16,"Tampa, Florida",11
Erika Van Pelt,26,"South Kingstown, Rhode Island",11
Heejun Han,22,"Flushing, New York",11
DeAndre Brackensick,17,"San Jose, California",11
Colton Dixon,20,"Murfreesboro, Tennessee",11
Elise Testone,28,"Mount Pleasant, South Carolina",11
Skylar Laine,18,"Brandon, Mississippi",11
Hollie Cavanagh,18,"McKinney, Texas",11
Joshua Ledet,19,"Westlake, Louisiana",11
Jessica Sanchez,16,"San Diego, California",11
Phillip Phillips,21,"Leesburg, Georgia",11
